Date,Spatial Amsterdam,Spatial Beverwijk,Spatial Driehuis,Spatial Heemskerk,Spatial IJmuiden,Spatial Velsen-Noord,Spatial Zaandam
2022-09-08 02:00:00+00:00,1.6614890145943402,8.766785955059307,6.0267050336500585,6.535384795624324,10.131182367310881,7.438135983731064,2.365218691925481
2022-09-08 03:00:00+00:00,1.5206099874061467,6.388588905705441,4.401158767321071,4.978597371742005,8.16726517981315,6.385295722175401,2.1531129796171307
2022-09-08 04:00:00+00:00,2.3591567801897666,9.85740644644072,6.819676992174369,7.8005642671908895,12.833767337746483,10.158369446044404,2.9321891134154403
2022-09-08 05:00:00+00:00,4.12452538913894,19.87159637440105,13.49525243394961,15.307991758337682,26.23477893361033,20.272939103048543,6.013917745237998
2022-09-08 06:00:00+00:00,5.017193117720357,22.492129904269053,14.79468039598127,17.582177750658175,30.26379690158846,23.03838386555404,6.713618019367735
2022-09-08 07:00:00+00:00,3.827738655260602,16.49223213882087,11.043268110229054,12.961625605796687,21.425634548635344,16.622955443493748,5.368540020263585
2022-09-08 08:00:00+00:00,1.8605938723714703,8.626501838302536,5.796604643092313,6.34001911683716,10.5548055869798,7.847797740743072,2.567788601023123
2022-09-08 09:00:00+00:00,2.9179695289714833,15.971455232171593,10.596041109341165,10.755505545806962,17.717961915235488,12.112413253996126,4.377723085934607
2022-09-08 10:00:00+00:00,3.4775185314450727,15.84607941917816,11.189215913666164,11.099001791534945,15.899326713863928,11.277419706258051,4.458254157805403
2022-09-08 11:00:00+00:00,2.7214813130475095,8.300182610261327,6.386287400372113,6.182927910023018,8.122501380255429,6.7622317506415115,2.264140110529972
2022-09-08 12:00:00+00:00,1.268406545502647,4.078053067295631,3.209741438302432,3.13010666931443,4.2058656727862065,4.280022696889919,1.2583457959988364
2022-09-08 13:00:00+00:00,1.0795909012096092,4.261337776669984,3.2048742741414626,2.899788788591374,4.210519357798402,4.399017699389461,1.358489549998538
2022-09-08 14:00:00+00:00,0.995262936967308,4.072400600174158,2.994604427342241,2.755168897233238,4.204766926313422,4.338737135182537,1.322548645968643
2022-09-08 15:00:00+00:00,0.9294134588937056,4.215295481949386,3.05971085439119,2.8138654482620833,4.336517273788334,4.547244778282138,1.3857120643751613
2022-09-08 16:00:00+00:00,0.8995879884146603,3.797101855645451,2.7813090926478905,2.6019761203029415,3.928974074770476,4.197460993587938,1.2931136045643337
